X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
46151.60917684,1961197.71574657,FRNL85-4,33,16.5999999999971,61
45651.0449435027,1961164.71977874,FRNL85-4,33,16.9999999999985,61
45161.3574739666,1961142.58259012,FRNL85-4,33,18.4,61
44671.6659649414,1961120.45712521,FRNL85-4,33,19.8000000000015,61
44181.9704137992,1961098.3433838,FRNL85-4,33,22.2000000000029,61
43670.7591353511,1961065.63817623,FRNL85-4,33,24.5999999999971,61
43149.1673448689,1961044.27768263,FRNL85-4,33,26.9,61
42638.2003916262,1961022.68711927,FRNL85-4,33,28.3000000000015,61
42127.2290985343,1961001.10933495,FRNL85-4,33,30.5999999999971,61
41605.6239959702,1960979.78826341,FRNL85-4,33,33.9999999999985,61
41085.2882780522,1961013.9263303,FRNL85-4,33,37.0999999999985,61
40565.2060424773,1961059.16753095,FRNL85-4,33,40,61
40034.2378374033,1961093.57826662,FRNL85-4,33,42,61
39514.1532546057,1961138.84775316,FRNL85-4,33,45,61
38994.0676606225,1961184.13127227,FRNL85-4,33,46.9000000000015,61
38473.981052424,1961229.42882495,FRNL85-4,33,49.9000000000015,61
37953.6368716079,1961263.65089318,FRNL85-4,33,52.0000000000015,61
37423.1749906515,1961320.31223998,FRNL85-4,33,54.9000000000029,61
36892.4554518423,1961365.89867569,FRNL85-4,33,55.7999999999971,61
36361.7348073327,1961411.49972037,FRNL85-4,33,57.7999999999971,61
35841.6429652112,1961456.86830442,FRNL85-4,33,59.6999999999985,61
35310.9201399975,1961502.4982816,FRNL85-4,33,60.6,61
34790.8261904229,1961547.89522875,FRNL85-4,33,63.7,61
34270.4725542403,1961582.21627665,FRNL85-4,33,66.7,61
33739.746153018,1961627.88945494,FRNL85-4,33,67.7,61
33208.7593773291,1961662.48718536,FRNL85-4,33,69.7,61
32688.9201296997,1961719.03087397,FRNL85-4,33,70.6000000000015,61
32179.4507768194,1961764.24948382,FRNL85-4,33,69.9000000000029,61
31659.090083617,1961798.64067666,FRNL85-4,33,71.9000000000029,61
31138.9881684076,1961844.13609885,FRNL85-4,33,73.9000000000029,61
30619.1459152545,1961900.7359319,FRNL85-4,33,75.7999999999971,61
30099.0421727407,1961946.25951244,FRNL85-4,33,77.7999999999971,61
29578.6760506292,1961980.70666055,FRNL85-4,33,79.7999999999971,61
29058.8314865447,1962037.34882631,FRNL85-4,33,81.7999999999985,61
28538.724536808,1962082.91456164,FRNL85-4,33,83.7,61
28018.3543110238,1962117.40368605,FRNL85-4,33,85.7999999999985,61
27498.2449121707,1962162.99746898,FRNL85-4,33,88.7,61
26978.3972246954,1962219.69609336,FRNL85-4,33,90.6000000000015,61
26458.2859562619,1962265.31804918,FRNL85-4,33,92.6000000000015,61
25938.1736005816,1962310.95406265,FRNL85-4,33,94.6000000000029,61
25418.0601546302,1962356.60413477,FRNL85-4,33,96.6000000000029,61
24897.9456153738,1962402.26826654,FRNL85-4,33,98.4999999999971,61
24377.8299797899,1962447.94645898,FRNL85-4,33,100.499999999997,61
23868.3440808168,1962493.38512757,FRNL85-4,33,101.499999999997,61
23337.595407513,1962539.34502991,FRNL85-4,33,103.399999999999,61
22817.7416262067,1962596.15668436,FRNL85-4,33,104.3,61
22297.8873299292,1962652.98252615,FRNL85-4,33,105.200000000001,61
21788.6634967988,1962709.5678341,FRNL85-4,33,106.100000000003,61
21268.8081966189,1962766.42176965,FRNL85-4,33,108.099999999997,61
20760.3824497493,1962856.30916212,FRNL85-4,33,108.800000000001,61
20241.3269597637,1962946.46611803,FRNL85-4,33,110.599999999997,61
19732.9038040196,1963036.38177714,FRNL85-4,33,110.300000000001,61
19224.2147101227,1963115.21973063,FRNL85-4,33,111.099999999997,61
18715.7938551679,1963205.16331995,FRNL85-4,33,111.800000000001,61
18218.0054133221,1963294.86420515,FRNL85-4,33,112.499999999999,61
17709.319042514,1963373.74362821,FRNL85-4,33,112.300000000001,61
17190.2706266501,1963463.98613931,FRNL85-4,33,111.999999999999,61
16681.8546384564,1963553.98566984,FRNL85-4,33,111.300000000001,61
16173.1709228123,1963632.90714012,FRNL85-4,33,111.099999999997,61
15675.1191163813,1963711.58438227,FRNL85-4,33,109.9,61
15166.7063975323,1963801.62552715,FRNL85-4,33,109.599999999997,61
14658.2949553446,1963891.68068181,FRNL85-4,33,109.300000000001,61
14160.516054436,1963981.4908922,FRNL85-4,33,108.099999999997,61
13651.8366962419,1964060.48142039,FRNL85-4,33,107.9,61
13132.5267031516,1964139.74536017,FRNL85-4,33,107.499999999997,61
12624.1197492477,1964229.85644841,FRNL85-4,33,107.3,61
12115.7140591855,1964319.98155494,FRNL85-4,33,106.999999999997,61
